	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
PARP14	2315	833	4135	3351	892	3359	2884	5184	5165	4736	4819	11032	13710	4977
PARP15	8	4	34	8	2	14	6	59	129	8	10	41	53	5
PARP16	521	783	819	1645	1204	511	837	926	880	1100	1183	1141	887	1918
PARP1	21132	8193	20382	35538	22467	11347	12647	32026	7518	24311	12075	13374	26046	24134
PARP2	974	1186	1024	6791	2455	786	787	1462	591	1318	953	1130	2246	628
PARP3	773	723	1139	338	175	854	595	656	1639	2233	795	1286	2723	688
PARP4	3737	3553	6740	12913	5634	2648	1037	3729	1955	3740	6152	4137	4352	6553
PARP6	1866	1862	2255	3889	6892	1068	1282	1834	2150	1889	1659	2507	1804	1738
PARP8	434	452	569	219	68	458	7380	1459	340	1037	1217	766	867	1054
PARP9	2720	729	6202	2460	1443	4341	2863	5535	5500	4344	5260	10275	14962	3906
PARS2	689	435	482	891	897	570	565	353	640	443	348	303	453	474
PART1	92	828	0	1335	24	13	794	31	2	66	10	63	593	34
PARVA	3842	7297	7340	3463	4934	3507	3867	5424	6141	6675	11248	6658	10401	5382
PARVB	2666	399	1338	2042	451	1204	927	1360	880	938	917	1164	991	1041
PARVG	587	186	715	174	42	395	278	670	661	247	522	398	722	243
PASD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PASK	1660	554	577	2128	1834	530	739	1236	835	479	127	729	1537	712
PATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATE2	4	1	0	16	5	1	0	2	0	0	1	2	5	0
PATE3	0	2	0	1	0	0	0	0	0	0	0	0	0	0
PATE4	1	1	0	0	2	1	0	0	1	0	0	2	4	0
PATL1	5649	2810	3558	6724	8019	1971	2750	5927	2788	2968	3179	2588	4997	1934
PATL2	3	8	4	1	0	10	3	13	17	11	8	11	42	8
PATZ1	3125	4266	6859	16152	10016	7158	6643	4982	6063	6556	4885	4407	8650	3595
PAWR	995	881	1516	1029	1238	337	1099	965	633	814	1442	1376	1814	1017
PAX1	31	328	194	432	1	59	0	34	16	13	197	11	85	5
PAX2	15	0	18	1	100	62	1	152	32	32	14	38	0	90
PAX3	5	561	30	0	154	4	0	12	3	3	54	4	37	6
PAX4	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PAX5	67	2	17	6	1108	4	7	5	269	3	0	4	15	10
PAX6	201	91	98	82	927	125	169	64	74	100	217	114	102	283
PAX7	0	1	0	0	0	867	0	221	0	0	1	22	0	2
PAX8	105	241	491	10	108	84	314	96	392	96	359	295	15	133
PAX9	878	632	355	9735	289	521	91	1130	993	994	517	327	2421	162
PAXIP1	1345	988	1189	3625	3382	1382	1310	1303	941	1856	1083	2276	2018	1302
PBK	1201	210	1002	1823	954	115	609	1170	146	1307	281	694	474	1921
PBLD	203	460	319	107	281	611	503	277	681	388	530	661	1330	360
PBOV1	2	0	1	0	1	1	2	1	0	0	1	4	4	1
PBRM1	5381	5809	5166	7217	11566	2300	4421	5865	4304	5788	3298	6608	6990	5699
PBX1	8467	20459	40250	17865	13813	21523	46054	21827	29845	33243	12015	39386	24760	53247
PBX2	1817	2492	3893	5459	2269	3937	2322	4250	3665	4634	3176	3903	2950	2486
