	TCGA-OL-A5RW-01	TCGA-OL-A5RX-01	TCGA-OL-A6VR-01	TCGA-OL-A5S0-01	TCGA-OL-A5RV-01	TCGA-OL-A66O-01	TCGA-OL-A5RZ-01	TCGA-OL-A66P-01	TCGA-OL-A66J-01	TCGA-OL-A66H-01	TCGA-OL-A97C-01	TCGA-OL-A66L-01	TCGA-OL-A66N-01	TCGA-OL-A66I-01	TCGA-OL-A5D7-01	TCGA-OL-A6VO-01	TCGA-OL-A5DA-01	TCGA-OL-A5D8-01	TCGA-OL-A5RU-01	TCGA-OL-A5D6-01	TCGA-OL-A6VQ-01	TCGA-OL-A66K-01	TCGA-OL-A5RY-01
COX10	589	652	1164	610	776	644	346	507	488	488	314	506	595	701	887	1863	437	395	681	300	301	925	392
COX11	1682	1882	2118	922	1591	2105	3974	613	2187	1858	625	1518	1840	1141	594	2584	1507	1007	1459	967	653	2802	1535
COX15	1181	2148	2872	1636	2146	2979	1931	1573	2203	2742	1030	2067	2199	1252	2133	2959	2436	2796	2745	2225	860	2421	1724
COX16	3126	2161	2579	2150	1685	4808	1893	2012	3089	2512	1394	3096	2538	1558	1244	3078	2571	1927	2296	2144	732	1408	2174
COX17	2663	766	2184	1860	894	3302	1995	2020	1261	2048	654	2265	1851	1119	1113	1094	1019	1362	1082	1012	386	1131	1142
COX18	241	1046	1672	451	904	1053	1012	714	923	1127	414	540	1154	783	613	820	846	978	1000	1435	346	1096	900
COX19	1775	809	1028	1013	572	1210	806	429	883	832	322	807	951	946	1033	1045	808	465	494	426	171	582	538
COX4I1	16578	10220	9719	15050	7585	31468	25077	22659	10333	13341	8850	20479	18178	12095	15553	6971	8117	7050	12304	9544	2477	6451	13345
COX4I2	49	86	72	78	25	193	40	200	254	160	10	436	556	50	12	10	51	93	40	218	15	122	103
COX4NB	1087	819	1042	1635	872	2517	2466	961	835	1309	744	1092	1104	1734	1897	1246	774	576	1308	781	252	632	1393
COX5A	10259	2236	4222	6012	2173	5354	5311	3930	2720	3649	1719	4473	3985	2595	4282	5121	2485	3513	2437	4067	869	1860	2890
COX5B	10235	2608	5529	4501	2633	10375	8269	8154	3263	2953	2045	9137	6400	2347	6656	5095	3272	5743	2868	5825	1318	3149	3292
COX6A1	14213	4055	9009	5175	4692	17494	8423	9751	6228	6294	2907	11763	7767	4655	5634	6640	6107	7148	5218	8146	1509	4348	3983
COX6A2	6	0	0	1	1	38	2	1	0	0	0	55	4	14	7	0	2	0	0	0	0	5	0
COX6B1	17855	4932	8194	17094	4010	15933	9682	11148	5790	5577	5479	15136	10928	9270	5181	6500	6348	5954	5643	8662	1801	4244	4745
COX6B2	12	997	26	4	64	136	3	5	921	1	44	15	13	5	20	2	24	58	10	11	12	68	6
COX6C	3530	8574	83387	9498	8075	56886	17748	8318	61958	59210	3848	11097	12178	5360	4757	11265	18053	91028	4753	4110	2811	21248	3864
COX7A1	169	286	240	406	124	448	90	239	626	200	475	2638	1005	172	28	62	211	121	202	253	91	243	422
COX7A2L	4664	3429	8462	5802	3126	7605	5774	3622	4348	5010	2230	6218	7981	4969	2941	7155	4003	5531	4482	2692	1602	4076	3290
COX7A2	8088	3015	6050	7427	2640	6391	3913	5929	5422	5328	1963	5005	6362	3001	3365	12502	6106	4671	3210	2646	868	4166	4026
COX7B2	0	0	0	0	0	0	0	265	70	0	0	0	0	0	0	0	0	0	0	5	0	0	0
COX7B	9154	2033	3745	5976	2277	5279	3778	5261	2741	2703	2225	5771	4642	3440	3541	3130	2482	2357	3110	5047	961	1944	3302
COX7C	11579	6485	10373	5179	4702	13295	8086	7793	5223	6049	4480	14476	11546	3909	3741	5027	6582	6584	6006	7738	2288	4510	7672
COX8A	14815	4954	11293	6179	4409	8262	12199	8772	3736	7514	4156	14040	8219	4305	5464	9006	3509	6782	6530	6250	1946	3923	5120
COX8C	2	1	1	0	0	0	0	0	1	0	1	0	1	1	1	3	0	1	0	1	0	0	0
CP110	475	1688	2337	566	2303	568	1176	222	1002	1389	706	916	780	1291	493	3355	1498	2283	955	451	1013	3480	760
CPA1	0	13	2	5	3	1	1	1	31	0	3	27	1	0	3	1	0	1	3	2	1	0	1
CPA2	3	0	0	4	0	2	3	1	4	2	14	2	4	0	1	1	0	0	0	0	0	1	9
CPA3	10	356	178	327	1680	1461	73	639	205	690	18	1095	4112	757	17	10	691	147	772	633	1119	772	1384
CPA4	847	101	60	97	73	7	128	60	60	13	9	34	575	36	35	63	58	135	80	936	28	69	757
CPA5	4	6	0	2	12	0	5	20	0	0	8	0	16	17	18	0	2	9	17	16	2	0	22
CPA6	1	39	7	2	10	3108	1	4	1	2824	0	4	9	2	0	0	6	1	0	61	1	7	0
CPAMD8	659	654	885	573	533	217	962	1869	173	81	1177	433	1768	143	559	119	415	416	189	1603	319	161	644
CPB1	581	22	126	2	162	1583015	2	2	69	2029798	116	1025	5421	0	0	2	272	87	122	38	2	68	321
CPB2	0	1	2	0	14	2	17	21	1	0	3	0	1	0	0	4	11	0	0	308	0	2	0
CPD	740	6891	8098	3678	7382	5473	2264	6966	5926	7098	2622	2989	4530	1951	992	3646	6564	5736	4808	5479	3614	9473	3562
CPEB1	13	31	12	9	18	7	16	4	11	4	5	7	29	27	5	83	25	114	20	10	13	48	6
CPEB2	516	2358	5741	274	2946	979	383	314	3162	5737	829	1193	583	526	124	575	2102	1033	3495	561	2083	5509	653
CPEB3	140	312	526	98	452	289	168	78	253	396	252	203	261	157	91	186	260	373	517	299	263	593	159
CPEB4	828	1667	4587	299	3816	1370	630	673	2490	1169	1558	869	880	569	113	845	2303	2176	2451	1776	2349	4078	1194
CPE	1540	5335	3794	1639	5443	3691	5029	2104	8291	13401	9945	4133	5948	1729	293	719	2323	2178	3667	3964	2352	4626	4635
CPLX1	395	465	1065	247	893	894	185	203	418	726	413	1921	667	41	117	32	653	1761	326	235	237	524	144
CPLX2	0	2	10	7	6	0	28	0	0	10	0	0	0	0	0	0	0	3	0	0	0	2	6
CPLX3	6	0	1	8	19	19	17	3	1	2	2	4	14	7	23	2	1	23	11	5	0	36	4
CPLX4	0	1	2	0	0	0	3	2	1	0	0	0	0	0	1	1	0	0	1	1	0	2	4
CPM	504	418	877	1075	1015	658	692	654	1651	1108	523	971	834	3776	810	2321	383	577	510	1891	390	811	1386
CPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPN2	12	10	0	4	2	3	2	12	19	0	1	8	24	2	5	7	6	3	4	4	0	16	1
CPNE1	6263	5678	6956	6630	5530	5481	2744	5484	4962	2664	6477	6236	5385	13874	9250	5306	7130	4259	4933	4702	1696	4518	3630
CPNE2	998	1381	740	1646	806	820	4492	690	1253	1364	1398	930	818	2575	1203	1757	701	673	679	1157	389	905	1687
CPNE3	1819	5029	13552	4134	5409	3687	5215	2227	4248	5547	3245	2551	4295	4836	5140	10919	6864	17436	5581	4528	2853	6582	3827
CPNE4	86	1	1	37	203	0	27	1	0	3	0	0	25	4	0	3	0	1	2	0	1	0	14
CPNE5	153	194	100	143	195	122	97	1065	120	180	146	231	382	180	257	401	102	163	610	288	63	172	711
CPNE6	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	7
CPNE7	853	585	1395	206	487	4824	5292	215	51	994	80	251	560	886	1265	627	1106	2457	189	44	14	711	90
CPNE8	230	237	128	405	217	39	40	243	372	263	355	140	161	460	96	140	140	95	248	603	128	234	613
CPNE9	9	5	1	3	1	28	0	2	2	3	1	6	12	1	4	1	3	8	4	2	0	0	3
CPOX	432	507	879	591	603	847	546	520	731	816	536	460	602	917	452	604	561	331	599	592	327	552	690
CPO	1	11	47	5	5	3	11	2	4	4	2	8	4	0	3	0	14	1	7	8	2	2	0
